|-------+----------------------+--------+---------|
|  rank | name                 | solved | recent  |
|  450  | equation314          | 100    | 1333    |
|  451  | yuniscomputing       | 100    | 1187    |
|  452  | (nkzimmon)           | 100    | 989     |
|  453  | s0ng                 | 100    | 373     |
|  454  | zerosnake0           | 100    | 349     |
|  455  | ljhku                | 99     | 1816    |
|  456  | gameboy1024          | 99     | 1204    |
|  457  | imxian               | 99     | 497     |
|  458  | art9                 | 99     | 138     |
|  459  | bbschat              | 98     | 2767    |
|  460  | changsheng           | 98     | 2391    |
|  461  | (jilinxie)           | 98     | 1532    |
|  462  | jiufengzi            | 97     | 1906    |
|  463  | Javran               | 97     | 1277    |
|  464  | sailuo               | 96     | 3649    |
|  465  | zenwalk              | 96     | 2391    |
|  466  | liuyubobobo          | 96     | 1072    |
|  467  | thinginitself        | 96     | 915     |
|  468  | (bigmortz)           | 96     | 822     |
|  469  | Gloria               | 95     | 3326    |
|  470  | MaZhanlei            | 95     | 3102    |
|  471  | _Ke                  | 95     | 1243    |
|  472  | Sacry                | 95     | 1183    |
|  473  | luobuda              | 95     | 656     |
|  474  | (cyyever)            | 95     | 256     |
|  475  | plokzfadai           | 94     | 1990    |
|  476  | pavelkang            | 94     | 1670    |
|  477  | jmouse               | 94     | 1448    |
|  478  | Answeror             | 93     | 2157    |
|  479  | (hahahanibal)        | 93     | 1535    |
|  480  | zero.chs             | 93     | 1028    |
|  481  | paroid               | 93     | 855     |
|  482  | Nilnova              | 93     | 536     |
|  483  | southpacific         | 93     | 1       |
|  484  | oyyfj                | 92     | 3143    |
|  485  | bigsh1p              | 92     | 1206    |
|  486  | xWvxYWYxvWx          | 92     | 476     |
|  487  | skywalkert           | 92     | 153     |
|  488  | cq_xuke              | 92     | 135     |
|  489  | coffee.stone         | 91     | 2836    |
|  490  | apzc2529             | 91     | 2781    |
|  491  | xuyanfeng            | 91     | 1928    |
|  492  | Erjin_Zhou           | 91     | 1172    |
|  493  | (zhuoliuzhou)        | 91     | 287     |
|  494  | manchery             | 91     | 208     |
|  495  | mytbk                | 91     | 50      |
|  496  | giantchen            | 90     | 1900    |
|  497  | CandyZ               | 90     | 1543    |
|  498  | tiger2fish           | 90     | 1373    |
|  499  | (yangyuxuan)         | 90     | 1293    |
|  500  | broots               | 90     | 1164    |
|  501  | SunMoon              | 89     | 3821    |
|  502  | haha_win7            | 89     | 3098    |
|  503  | patrol               | 89     | 2144    |
|  504  | Golbez               | 89     | 2139    |
|  505  | ipodfans             | 89     | 2117    |
|  506  | WJMZBMR              | 89     | 1947    |
|  507  | dwh                  | 89     | 1265    |
|  508  | Xihuan01             | 89     | 1128    |
|  509  | tieer                | 89     | 571     |
|  510  | JMan_Zx              | 89     | 350     |
|  511  | (grossopa)           | 89     | 297     |
|  512  | sjt                  | 89     | 158     |
|  513  | jinjing              | 88     | 3640    |
|  514  | hywei                | 88     | 2323    |
|  515  | saintqdd             | 88     | 1461    |
|  516  | iambic               | 88     | 1365    |
|  517  | yininggeta1          | 88     | 531     |
|  518  | Stilwell             | 88     | 164     |
|  519  | mpouse               | 88     | 27      |
|  520  | RichardCheng         | 87     | 3555    |
|  521  | jinzhidong2539       | 87     | 3455    |
|  522  | snake0406            | 87     | 3319    |
|  523  | SsJia                | 87     | 2858    |
|  524  | comaoe               | 87     | 2458    |
|  525  | (nisec_eric)         | 87     | 1960    |
|  526  | sgm0002003           | 87     | 1893    |
