|-------+-------------------------+--------+---------|
|  rank | name                    | solved | recent  |
|  379  | (albert_park)           | 52     | 1045    |
|  380  | yangjy0113              | 52     | 988     |
|  381  | thumb                   | 52     | 716     |
|  382  | viciousagent86          | 52     | 361     |
|  383  | john3374                | 51     | 2788    |
|  384  | sinjimua                | 51     | 2689    |
|  385  | singleheart             | 51     | 2054    |
|  386  | boldragon               | 51     | 1855    |
|  387  | sven_                   | 51     | 1759    |
|  388  | (spyrogira256)          | 51     | 1680    |
|  389  | eva0071                 | 51     | 1605    |
|  390  | glastonbury             | 51     | 1585    |
|  391  | greentec                | 51     | 1557    |
|  392  | ybjeon01                | 51     | 1053    |
|  393  | (jins02)                | 51     | 965     |
|  394  | john-scarlet            | 51     | 776     |
|  395  | hjl1595                 | 51     | 737     |
|  396  | freewild                | 51     | 251     |
|  397  | Yearning                | 51     | 48      |
|  398  | RisingCrow              | 50     | 4073    |
|  399  | wmftsa                  | 50     | 3024    |
|  400  | Informatica_Kim         | 50     | 2865    |
|  401  | kenjin2202              | 50     | 2720    |
|  402  | isAir                   | 50     | 2079    |
|  403  | (ff0610)                | 50     | 1997    |
|  404  | nhw119                  | 50     | 1914    |
|  405  | seunghyun               | 50     | 1898    |
|  406  | Leftium                 | 50     | 1832    |
|  407  | akalidos                | 50     | 1360    |
|  408  | jacgyver                | 50     | 1180    |
|  409  | sablime                 | 50     | 881     |
|  410  | hoonnhun                | 50     | 582     |
|  411  | shephexd                | 50     | 499     |
|  412  | wishsky02               | 50     | 286     |
|  413  | (ssu2016rex)            | 50     | 149     |
|  414  | dawnok2                 | 49     | 3737    |
|  415  | jms7446                 | 49     | 3196    |
|  416  | mysanal                 | 49     | 2683    |
|  417  | A.I                     | 49     | 2335    |
|  418  | (syyim)                 | 49     | 2270    |
|  419  | keysu                   | 49     | 2097    |
|  420  | anto5710                | 49     | 789     |
|  421  | keiasz                  | 49     | 251     |
|  422  | tubeworm                | 48     | 3448    |
|  423  | inkyu                   | 48     | 2327    |
|  424  | codevania               | 48     | 2064    |
|  425  | kjlucid                 | 48     | 1518    |
|  426  | irondog                 | 48     | 1424    |
|  427  | reiphiel                | 48     | 1094    |
|  428  | mookeun                 | 48     | 866     |
|  429  | parkkiung123            | 48     | 611     |
|  430  | (gomcheol)              | 48     | 160     |
|  431  | demian51                | 47     | 3473    |
|  432  | bupjae                  | 47     | 3171    |
|  433  | Legendre                | 47     | 1878    |
|  434  | (hssuh)                 | 47     | 1242    |
|  435  | kipa00                  | 47     | 1241    |
|  436  | Pekaz                   | 47     | 89      |
|  437  | (eudemonicjh)           | 47     | 82      |
|  438  | csk1103                 | 46     | 1839    |
|  439  | sorry                   | 46     | 1791    |
|  440  | (kjk6463)               | 46     | 1577    |
|  441  | (choi101104)            | 46     | 884     |
|  442  | hwj8963                 | 46     | 531     |
|  443  | paosder                 | 46     | 414     |
|  444  | (junnyboy2008)          | 46     | 313     |
|  445  | toolofthought           | 46     | 13      |
|  446  | eju                     | 45     | 3585    |
|  447  | threec                  | 45     | 2857    |
|  448  | phg                     | 45     | 2424    |
|  449  | btakeya                 | 45     | 2387    |
|  450  | bakaas                  | 45     | 2284    |
|  451  | k09wang                 | 45     | 2225    |
|  452  | (dino1251)              | 45     | 1818    |
|  453  | ermaker                 | 45     | 1780    |
|  454  | geehoon                 | 45     | 1750    |
|  455  | ybbarng                 | 45     | 1511    |
|  456  | toyun                   | 45     | 504     |
|  457  | ohwi                    | 45     | 125     |
